Id,Type,Code,Name,Status,IsPrgCreatedDate,IsPrgUpdatedDate,IsPrgCreatedUserId,IsPrgUpdatedUserId
184,NULL,NULL,bao giấy,1,2019-10-25 13:07:42.037,NULL,6,NULL
185,NULL,NULL,thùng thiếc vuông,1,2019-11-02 11:37:05.443,NULL,6,NULL
186,NULL,NULL,hộp lẻ,1,2019-12-20 12:34:26.397,NULL,3,NULL
187,NULL,NULL,kiện dài nhỏ,1,2019-12-21 14:48:22.590,NULL,3,NULL
188,NULL,NULL,kệ lớn,1,2019-12-28 17:51:10.173,NULL,3,NULL
189,NULL,NULL,thùng dẹp nhỏ,1,2020-01-20 13:43:34.280,NULL,3,NULL
190,NULL,NULL,thùng tròn lớn,0,2020-02-13 20:12:26.167,2020-02-13 20:12:54.263,6,6
191,NULL,NULL,xấp thùng,1,2020-02-14 17:29:48.130,NULL,6,NULL
192,NULL,NULL,kiện đen lớn,1,2020-02-15 17:14:51.993,NULL,3,NULL
193,NULL,NULL,kiện dẹp lớn,1,2020-02-27 10:57:19.007,NULL,6,NULL
194,NULL,NULL,vali nhỏ,1,2020-06-06 20:31:18.580,NULL,6,NULL
195,NULL,NULL,vali lớn,1,2020-06-06 20:31:26.967,NULL,6,NULL
196,NULL,NULL,098588320,1,2020-12-20 15:26:08.827,NULL,3,NULL
197,NULL,NULL,cây vải,1,2020-12-24 15:55:31.310,NULL,3,NULL
198,NULL,NULL,Meau Mean,1,2021-06-01 18:24:31.460,NULL,6,NULL
199,NULL,NULL,thùng máy,1,2022-01-13 12:36:14.027,NULL,6,NULL
200,NULL,NULL,kiện lẻ,1,2022-04-05 12:31:00.217,NULL,6,NULL
201,NULL,NULL,kệ dẹp,1,2022-04-09 12:05:23.533,NULL,6,NULL
202,NULL,NULL,Tài - 0975333277,1,2022-04-10 14:55:42.010,NULL,6,NULL
203,NULL,NULL,thùng gỗ,1,2022-04-18 11:04:40.640,NULL,6,NULL
204,NULL,NULL,trái,1,2022-04-19 12:57:51.917,NULL,6,NULL
205,NULL,NULL,kiện nhựa trong,1,2022-04-19 17:25:08.013,NULL,6,NULL
206,NULL,NULL,kiện nhựa,1,2022-04-19 17:25:16.210,NULL,6,NULL
207,NULL,NULL,giỏ xách,1,2022-04-25 14:56:12.397,NULL,6,NULL
208,NULL,NULL,can vuông xanh,1,2022-05-05 12:33:35.317,NULL,6,NULL
209,NULL,NULL,bao lẻ,1,2022-05-06 15:42:13.530,NULL,6,NULL
210,NULL,NULL,xô sắt tròn,1,2022-05-08 11:40:16.973,NULL,6,NULL
211,NULL,NULL,kiện xanh,1,2022-05-11 14:22:12.570,NULL,6,NULL
212,NULL,NULL,bao xanh,1,2022-05-11 14:44:42.383,NULL,6,NULL
213,NULL,NULL,bao trắng,1,2022-05-11 14:45:12.923,NULL,6,NULL
214,NULL,NULL,cuộn tròn,1,2022-05-13 11:51:34.977,NULL,6,NULL
215,NULL,NULL,giỏ trắng,1,2022-05-17 12:47:03.963,NULL,6,NULL
216,NULL,NULL,kết,1,2022-05-24 12:29:54.467,NULL,6,NULL
217,NULL,NULL,kiện đen tròn,1,2022-06-09 10:44:34.533,NULL,6,NULL
218,NULL,NULL,can vuông trắng,1,2022-06-14 13:26:52.927,NULL,6,NULL
219,NULL,NULL,kiện đen dài,1,2022-06-16 11:50:09.500,NULL,6,NULL
220,NULL,NULL,phuy nhựa xanh,1,2022-06-22 14:38:04.137,NULL,6,NULL
221,NULL,NULL,cây ngắn,1,2022-06-24 16:35:08.810,NULL,6,NULL
222,NULL,NULL,kiện gỗ lớn,1,2022-12-05 16:14:24.043,NULL,5,NULL
223,NULL,NULL,kiện xốp nhỏ,1,2022-12-12 09:25:57.457,NULL,5,NULL
224,NULL,NULL,kiện xốp lớn,1,2023-02-10 18:26:51.223,NULL,5,NULL
225,NULL,NULL,kiện dẹp,1,2023-04-23 10:37:22.290,NULL,3,NULL
226,NULL,NULL,Bao thùng,1,2023-08-28 12:19:23.010,NULL,5,NULL
227,NULL,NULL,Chom Rong - 0887777252,1,2023-09-22 21:20:02.383,NULL,5,NULL
228,NULL,NULL,Chom Rong - 0887777252,1,2023-09-22 21:20:41.727,NULL,5,NULL
229,NULL,NULL,xô lớn,1,2023-10-28 16:12:28.513,NULL,6,NULL
230,NULL,NULL,Kim Naroth - 017477742,1,2023-11-13 22:18:39.093,NULL,5,NULL
231,NULL,NULL,Kim Naroth - 017477742,1,2023-11-13 22:19:47.730,NULL,5,NULL
232,NULL,NULL,bao xanh lớn,1,2023-11-30 09:05:47.230,NULL,5,NULL
233,NULL,NULL,lon,1,2024-01-09 16:28:37.043,NULL,5,NULL
234,NULL,NULL,phuy nhựa trắng,1,2024-03-20 16:20:36.437,NULL,5,NULL
235,NULL,NULL,kiện xốp dẹp,1,2024-05-20 17:39:46.143,NULL,6,NULL
236,NULL,NULL,Kiện thùng xốp,1,2024-06-13 17:14:32.570,NULL,5,NULL
237,NULL,NULL,Khon Rathana mỹ phẩm - 087855030,1,2024-06-14 20:39:54.933,NULL,3,NULL
238,NULL,NULL,0764520632,1,2024-11-26 15:46:01.233,NULL,3,NULL
