Id,Type,Code,Name,KieuSo,KieuSo1,KieuSo2,KieuSo3,KieuChu,KieuChu1,KieuChu2,KieuChu3,KieuNgay,KieuNgay1,Status,IsPrgCreatedDate,IsPrgUpdatedDate,IsPrgCreatedUserId,IsPrgUpdatedUserId
408,NULL,NULL,Zin 12x20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-16 14:17:25.567,NULL,5,NULL
409,NULL,NULL,Zin 20x30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-16 14:19:55.457,NULL,5,NULL
410,NULL,NULL,Zin 6X11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-16 14:22:23.087,NULL,5,NULL
411,NULL,NULL,Zin 16x28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-16 14:29:40.370,NULL,5,NULL
412,NULL,NULL,PP 50x80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-17 14:43:23.523,NULL,5,NULL
413,NULL,NULL,PE đen 20x30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-17 14:50:44.077,NULL,5,NULL
414,NULL,NULL,PE đen 70x120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-17 14:52:35.507,NULL,5,NULL
415,NULL,NULL,PE đen 6x11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-17 14:55:41.443,NULL,5,NULL
416,NULL,NULL,Zin 60x100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-17 15:05:17.757,NULL,5,NULL
417,NULL,NULL,PE đen 14x24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-17 15:11:03.283,NULL,5,NULL
418,NULL,NULL,PE đen 16x28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-17 15:12:43.590,NULL,5,NULL
419,NULL,NULL,PE zin 6x11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-26 10:07:57.147,NULL,5,NULL
420,NULL,NULL,PE zin 6x14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-26 10:08:08.137,NULL,5,NULL
421,NULL,NULL,PE đen 6x14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-26 10:14:36.183,NULL,5,NULL
422,NULL,NULL,Qx PE 20x30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-26 10:19:48.600,NULL,5,NULL
423,NULL,NULL,Qx PE 25x38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-26 10:21:05.157,NULL,5,NULL
424,NULL,NULL,Kiện xốp lớn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2023-02-10 18:25:57.437,NULL,5,NULL
425,NULL,NULL,bao thùng,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2023-08-28 12:18:15.640,NULL,5,NULL
426,NULL,NULL,phuy nhựa đen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2024-09-10 15:32:39.990,2024-09-10 15:41:01.427,3,3
427,NULL,NULL,OPP 15x23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2024-10-17 17:45:18.917,NULL,6,NULL
